faculty,college,department,url
Misak Zetilyan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
George R. Cannon, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Philip Gilbert, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Ruth Horgan, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Larry Lichten, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Robert W Lingard, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Dorothy Miller, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
John Motil, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
David Salomon, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Diane L. Schwartz, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
J. Michael Kabo, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Vibhav Durgesh, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Dr. Nhut Tan Ho, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Abhijit Mukherjee, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Vidya K Nandikolla, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Stewart P Prince, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Robert G Ryan, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Christoph Schaal, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Farooq Ahmad, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Ravnesh C Amar, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Susan M Beatty, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Khashayar Behdinan, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Erin Bishop, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Thomas P Brown, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
