faculty,college,department,url
Takashi Yagisawa, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/faculty
Mitchell Herschbach, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/lecturers
Leemon McHenry, College of Humanities, Department of Philosophy, https://www.csun.edu/humanities/philosophy/lecturers
Claudia Toledo-Corral, Health & Human Development, Department of Health Sciences, https://www.csun.edu/health-human-development/health-sciences/full-time-faculty
Myriam Forster, Health & Human Development, Department of Health Sciences, https://www.csun.edu/health-human-development/health-sciences/full-time-faculty
Ana Sanchez-Munoz, College of Humanities, Department of Chicano Studies, https://www.csun.edu/humanities/chicana-chicano-studies/faculty
Hilary Silvia-Goldberg, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Ovande Furtado Jr. , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Andrew Linden , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Paulo Marchetti , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Justin Nicoll , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Nanci Carr , College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory
Stuart Pardau , College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=2
