Kurt Saunders, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
Melanie Williams, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
Gregory Young, College of Business and Economics, Department of Business Law, https://www.csun.edu/blaw/faculty-directory?field_person_type_value%5Bfaculty%5D=faculty&field_person_type_value%5Bstaff%5D=staff&page=3
Behzad Bavarian, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Kang Chang, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Robert D. Conner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ileana Costea, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Ahmad Sarfaraz, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Khashayar Behdinan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Guido Canzona, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Luis Echeverria, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Gus H. Elias, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hamid Gholami, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jay Hamade, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Jaleh Jahangiri, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Fereshteh Lavassani, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Anthony Magee, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Chima Ojukwu, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Lisa Reiner, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Babak Samimi, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Hans Shin, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Adrian Sita, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Salpy R. Tovar, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Shahriar Vazan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Scott Wainess, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/lecturers
Bonita Campbell, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Jon Shively, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Gerald Davis, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Melvin Lifson, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Arnold Roe, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/emeritus-faculty
Bacic Carole, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Barba Richard, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Burke-Doe Annie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Burton Thomas, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Carrle Raylean, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Chang Julia, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Clamor Charmaine, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Donnelly Judd, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Druz Viktoria, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Ellis Anne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Ferreira Isabel, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Hamilton Justin, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Hawson Suzanne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Huntsman-Lannom Debra, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Jimeno Francisco, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Kamrava Shandiz, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Katz Richard, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Linares Ernie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Macnaughton Lorraine, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Malaspina Stephanie, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Monroy Edwin, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Murakami Mae, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Panama Gabriel, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Sapienza Allison, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Sinn Jared, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Stewart Myra, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Tyler Kristy, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
White Chris, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Xiao Danny, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
Zandi Yvonne, Health & Human Development, Department of Physical Therapy, https://www.csun.edu/health-human-development/physical-therapy/Part-time-faculty
