faculty,college,department,url
David Andersen, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Joel Athey, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Guillermo Bartelt, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Gwen Brewer, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Robert Chianese, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
JOHN CLENDENNING, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Lary H. Gibson, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Philip Handler, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Harold L Hellenbrand, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Marvin Klotz, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Barbara Kroll, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Jack R Lopez, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Patricia Murray, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Robert G Noreen, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Robert T. Oliphant, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Catherine Phelan, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Elaine Plasberg, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Robert Reid III, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Iris Shah, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Lawrence Stewart, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Arlene Stiebel, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Harry Stone, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
William Stryker, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
George R Uba, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
William Walsh, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Patricia Watkins, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Warren Wedin, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Thomas Wright, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Flavia S Fleischer, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jordan T Eickman, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Carla Garc�a-Fern�ndez, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
William G Garrow, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Lissa D Stapleton, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
LaTasha Clay, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Matthew Daigle, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Desiree Duong, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Stephanie E Durand, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Joshua Feldman, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Christine L Firkins, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Katherine A Firkins, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jessica Frank, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Evelina A Gaina, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Joel Garcia, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jaspreet Ghotra, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Leslie Greer, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Cynthia L Herbst, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Justin L Jackerson, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Allisun Kale, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Charles N Katz, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Shmuel Khorsandi, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Thomas S Korn, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Catherine D Kroener, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Marina L Lavelle, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Alek M Lev, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Desiree Love, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jennifer Marfino, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Brandon Marin, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Cole J Mccandless, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Kay Oldfather-Daigle, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
John Pak, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jeff Pollock, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jonathan Reynolds, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Justin Reynolds, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jacob Shamberg, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Kimberly Smith, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Shoshannah O Stern, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Lee Ann Tang, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Casey Thornton, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Maria D Vazquez-low, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jonathan Webb, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jevon Whetter, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Melissa Yingst Huber, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Nicholas Zerlentes, Michael D. Eisner College of Education, Department of Deaf Studies, https://www.csun.edu/eisner-education/deaf-studies/faculty-staff
Jody E Dunlap, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Jack Bagwell, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Richard T Castallo, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Miguel A Ceja, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
William P Delatorre, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Nathan R Durdella, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Ellen Edeburn, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Christine A Hayashi, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
